Language,Rank,Term,CorpusCount,ReportCountInLanguage
de,33,außenmeniskus,136,262
de,34,serie image,131,262
de,35,image,131,262
de,36,unauffällige,131,262
de,37,serie,131,262
de,38,darstellung der,129,262
de,39,der medialen,128,262
de,40,mcl,127,262
de,41,patella,127,262
de,42,intaktes,121,262
de,43,weichteile,118,262
de,44,darstellung des,118,262
de,45,gering,117,262
de,46,intakter knorpel,116,262
de,47,muskulatur,115,262
de,48,geringe,114,262
de,49,femorotibial,113,262
de,50,regelrechte darstellung,110,262
de,51,trochlea,109,262
de,52,tibiaplateau,105,262
de,53,lcl,101,262
de,54,oberflächliche,99,262
de,55,muskulatur und,99,262
de,56,ansonsten,99,262
de,57,oder,94,262
de,58,patellarsehne,93,262
de,59,geringer,92,262
de,60,knochenmarksignal intakter,92,262
de,61,die,91,262
de,62,signalgebung,89,262
de,63,pars,88,262
de,64,kompartiment regelrechtes,88,262
de,65,pars intermedia,87,262
de,66,intermedia,87,262
de,67,laterales,84,262
de,68,den,81,262
de,69,femurkondyle,81,262
de,70,kleine,81,262
de,71,unauffällig,79,262
de,72,mediales,79,262
de,73,der lateralen,77,262
de,74,kniegelenk,77,262
de,75,auch,77,262
de,76,bis,76,262
de,77,unauffällige darstellung,76,262
de,78,hinterhorn,74,262
de,79,intakte darstellung,72,262
de,80,knorpeldefekt,70,262
de,81,kollateralbänder,69,262
de,82,unauffälliger,69,262
de,83,gleitlager,68,262
de,84,knorpelbesatz,67,262
de,85,fokal,67,262
de,86,laterales kompartiment,67,262
de,87,mediales kompartiment,66,262
de,88,übrige,65,262
de,89,gleitlager und,65,262
de,90,femoropatellares,65,262
de,91,femoropatellares gleitlager,65,262
de,92,übrige weichteile,64,262
de,93,knorpel intakter,64,262
de,94,und übrige,64,262
de,95,in den,63,262
de,96,femoropatellar,62,262
de,97,im medialen,62,262
de,98,knorpelbelag,61,262
de,99,nach,61,262
de,100,und patellarsehne,60,262
el,1,του,2353,321
el,2,και,1587,321
el,3,με,1154,321
el,4,έσω,816,321
el,5,παρατηρείται,566,321
el,6,έξω,530,321
el,7,της,463,321
el,8,ευρήματα,463,321
el,9,τον,450,321
el,10,από,449,321
el,11,στο,443,321
el,12,από τον,392,321
el,13,έλεγχο,380,321
el,14,τον έλεγχο,375,321
el,15,στην,365,321
el,16,εξέταση,340,321
el,17,ακολουθίες,331,321
el,18,μηνίσκου,316,321
el,19,σε,313,321
el,20,τ1,304,321
el,21,με ακολουθίες,304,321
el,22,των,296,321
el,23,έλεγχο του,281,321
el,24,του έσω,280,321
el,25,υγρού,277,321
el,26,χωρίς,270,321
el,27,ρήξη,269,321
el,28,τεχνικη,260,321
el,29,σήματος,251,321
el,30,τεχνικη εξέταση,250,321
el,31,συλλογή,248,321
el,32,ευρηματα,247,321
el,33,χόνδρου,246,321
el,34,παρατηρούνται,235,321
el,35,αρθρικού,233,321
el,36,σήμα,229,321
el,37,έγινε,229,321
el,38,ελέγχεται,228,321
el,39,εξέταση έγινε,228,321
el,40,συλλογή υγρού,227,321
el,41,εντός,225,321
el,42,παλμών,219,321
el,43,λίπους,218,321
el,44,σήματος του,215,321
el,45,στον,215,321
el,46,ακολουθίες παλμών,214,321
el,47,αρθρικού χόνδρου,213,321
el,48,οι,213,321
el,49,του σήματος,212,321
el,50,του λίπους,212,321
el,51,τ2,211,321
el,52,οίδημα,210,321
el,53,πρωτονίων,209,321
el,54,πυκνότητας,207,321
el,55,καταστολή,206,321
el,56,πυκνότητας πρωτονίων,206,321
el,57,καταστολή του,206,321
el,58,παλμών τ1,204,321
el,59,πρωτονίων με,203,321
el,60,έγινε με,203,321
el,61,με καταστολή,203,321
el,62,του αρθρικού,199,321
el,63,μικρή,198,321
el,64,μηχανισμού,192,321
el,65,εκτατικού,189,321
el,66,εκτατικού μηχανισμού,189,321
el,67,εντός του,187,321
el,68,συνδέσμου,184,321
el,69,του έξω,183,321
el,70,του εκτατικού,182,321
el,71,δεν,179,321
el,72,την,175,321
el,73,φυσιολογικού,174,321
el,74,αναγνωρίζεται,173,321
el,75,του φυσιολογικού,171,321
el,76,κατά,170,321
el,77,καθώς,167,321
el,78,έσω μηνίσκου,166,321
el,79,το,165,321
el,80,βαθμιδωτής,159,321
el,81,παρουσία,159,321
el,82,τ2 βαθμιδωτής,158,321
el,83,ηχούς,158,321
el,84,βαθμιδωτής ηχούς,157,321
el,85,μηριαίου,157,321
el,86,οστικού,156,321
el,87,και τ2,155,321
el,88,παθολογικά,154,321
el,89,παθολογικά ευρήματα,154,321
el,90,χιαστού,151,321
el,91,γονατος,151,321
el,92,πρόσθιου,148,321
el,93,επιγονατίδας,146,321
el,94,κύστη,141,321
el,95,καθώς και,139,321
el,96,φυσιολογικού ελέγχεται,138,321
el,97,χόνδρος,137,321
el,98,αρθρικός χόνδρος,136,321
el,99,αρθρικός,136,321
el,100,εκφύλιση,136,321
en,1,the,14147,1672
en,2,of,11314,1672
en,3,and,8892,1672
en,4,medial,7815,1672
en,5,no,7658,1672
en,6,normal,7286,1672
en,7,is,7014,1672
en,8,lateral,6366,1672
en,9,of the,5217,1672
en,10,tear,4422,1672
en,11,ligament,4420,1672
en,12,with,4387,1672
en,13,meniscus,4201,1672
en,14,cartilage,4127,1672
en,15,in,3999,1672
en,16,knee,3963,1672
en,17,compartment,3602,1672
en,18,intact,3387,1672
en,19,posterior,3051,1672
en,20,at,2815,1672
en,21,patellar,2691,1672
en,22,patellofemoral,2690,1672
en,23,the medial,2650,1672
en,24,or,2589,1672
en,25,there,2483,1672
en,26,collateral,2448,1672
en,27,joint,2367,1672
en,28,there is,2328,1672
en,29,medial meniscus,2080,1672
en,30,cruciate,2077,1672
en,31,signal,2012,1672
en,32,mild,1989,1672
en,33,anterior,1930,1672
en,34,effusion,1924,1672
en,35,are,1887,1672
en,36,tendon,1795,1672
en,37,collateral ligament,1788,1672
en,38,edema,1729,1672
en,39,lateral meniscus,1695,1672
en,40,horn,1663,1672
en,41,acl,1609,1672
en,42,tibial,1567,1672
en,43,the lateral,1556,1672
en,44,to,1543,1672
en,45,at the,1513,1672
en,46,cruciate ligament,1473,1672
en,47,marrow,1445,1672
en,48,cyst,1445,1672
en,49,femoral,1442,1672
en,50,bone,1411,1672
en,51,focal,1396,1672
en,52,grade,1373,1672
en,53,mri,1346,1672
en,54,posterior horn,1327,1672
en,55,articular,1291,1672
en,56,pcl,1252,1672
en,57,patella,1248,1672
en,58,medial compartment,1248,1672
en,59,ligaments,1240,1672
en,60,tendinosis,1239,1672
en,61,are intact,1225,1672
en,62,right,1206,1672
en,63,mcl,1197,1672
en,64,left,1192,1672
en,65,without,1180,1672
en,66,in the,1144,1672
en,67,lateral compartment,1141,1672
en,68,soft,1117,1672
en,69,articular cartilage,1095,1672
en,70,extensor,1090,1672
en,71,tear of,1074,1672
en,72,the posterior,1074,1672
en,73,tendons,1067,1672
en,74,findings,1053,1672
en,75,joint effusion,1052,1672
en,76,mechanism,1045,1672
en,77,compartment cartilage,1031,1672
en,78,extensor mechanism,1029,1672
en,79,small,1007,1672
en,80,condyle,993,1672
en,81,distal,970,1672
en,82,is intact,964,1672
en,83,horn of,955,1672
en,84,noted,953,1672
en,85,chondrosis,950,1672
en,86,body,947,1672
en,87,injury,946,1672
en,88,femoral condyle,944,1672
en,89,right knee,928,1672
en,90,left knee,924,1672
en,91,complex,920,1672
en,92,lateral collateral,910,1672
en,93,intact the,900,1672
en,94,fat,893,1672
en,95,baker's,890,1672
en,96,baker's cyst,887,1672
en,97,date,871,1672
en,98,meniscal,865,1672
en,99,osseous,864,1672
en,100,quadriceps,862,1672
es,1,de,8660,682
es,2,la,3412,682
es,3,de la,2958,682
es,4,del,2912,682
es,5,rotura,1343,682
es,6,con,1312,682
es,7,señal,1249,682
es,8,sin,1218,682
es,9,medial,1138,682
es,10,menisco,1053,682
es,11,femoral,963,682
es,12,lateral,945,682
es,13,de señal,866,682
es,14,no,832,682
es,15,alteraciones,717,682
es,16,leve,717,682
es,17,derrame,710,682
es,18,condropatía,691,682
es,19,impresión,681,682
es,20,articular,643,682
es,21,edema,612,682
es,22,hay,595,682
es,23,no hay,594,682
es,24,signos,588,682
es,25,banda,575,682
es,26,de rotura,566,682
es,27,normales,555,682
es,28,iliotibial,552,682
es,29,banda iliotibial,551,682
es,30,signos de,544,682
es,31,del menisco,541,682
es,32,dentro,537,682
es,33,dentro de,537,682
es,34,en,536,682
es,35,de límites,534,682
es,36,límites,534,682
es,37,derrame articular,526,682
es,38,posterior,524,682
es,39,límites normales,519,682
es,40,cuadricipital,505,682
es,41,aumento,502,682
es,42,aumento de,501,682
es,43,el,494,682
es,44,rodilla,463,682
es,45,tendones,463,682
es,46,proximal,443,682
es,47,tendón,442,682
es,48,espesor,436,682
es,49,parcial,411,682
es,50,sin alteraciones,410,682
es,51,los,404,682
es,52,de espesor,404,682
es,53,cóndilo,400,682
es,54,la rodilla,400,682
es,55,cuerno,396,682
es,56,cóndilo femoral,388,682
es,57,rotuliana,381,682
es,58,sin signos,378,682
es,59,grado,375,682
es,60,rotuliano,374,682
es,61,ósea,371,682
es,62,hallazgos,364,682
es,63,menisco medial,361,682
es,64,pata,359,682
es,65,ganso,359,682
es,66,pata de,359,682
es,67,de ganso,359,682
es,68,la pata,356,682
es,69,grasa,356,682
es,70,del tendón,346,682
es,71,hoffa,342,682
es,72,de hoffa,342,682
es,73,grasa de,340,682
es,74,ligamentos,339,682
es,75,de los,339,682
es,76,antecedentes,336,682
es,77,rótula,334,682
es,78,distal,334,682
es,79,resultados,334,682
es,80,rmn,333,682
es,81,técnica,333,682
es,82,rodilla resultados,333,682
es,83,técnica rmn,333,682
es,84,rmn de,333,682
es,85,condrales,327,682
es,86,clínicos,326,682
es,87,antecedentes clínicos,326,682
es,88,superficial,324,682
es,89,cuerno posterior,324,682
es,90,tibial,323,682
es,91,la rótula,321,682
es,92,tendones de,320,682
es,93,úlceras,318,682
es,94,patelofemoral,316,682
es,95,bíceps,310,682
es,96,bíceps femoral,310,682
es,97,femorotibial,308,682
es,98,femorotibiales,308,682
es,99,las,307,682
es,100,significativas,307,682
fr,1,de,930,92
fr,2,du,646,92
fr,3,la,512,92
fr,4,le,494,92
fr,5,et,473,92
fr,6,il,412,92
fr,7,normal,319,92
fr,8,avec,313,92
fr,9,ligament,308,92
fr,10,déchirure,297,92
fr,11,interne,279,92
fr,12,de la,278,92
fr,13,une,254,92
fr,14,ménisque,240,92
fr,15,sans,240,92
fr,16,au,232,92
fr,17,un,188,92
fr,18,des,187,92
fr,19,externe,185,92
fr,20,collatéral,180,92
fr,21,changements,172,92
fr,22,pas,169,92
fr,23,kyste,166,92
fr,24,compartiment,154,92
fr,25,ligament collatéral,154,92
fr,26,médial,148,92
fr,27,croisé,142,92
fr,28,postérieur,139,92
fr,29,ligament croisé,138,92
fr,30,est,134,92
fr,31,dégénératifs,133,92
fr,32,le ligament,129,92
fr,33,changements dégénératifs,129,92
fr,34,épanchement,128,92
fr,35,pas de,121,92
fr,36,légère,120,92
fr,37,articulaire,119,92
fr,38,du ménisque,119,92
fr,39,antérieur,116,92
fr,40,postérieure,116,92
fr,41,corne,111,92
fr,42,la corne,107,92
fr,43,poplité,105,92
fr,44,il un,104,92
fr,45,latéral,103,92
fr,46,cartilage,103,92
fr,47,petit,100,92
fr,48,il une,100,92
fr,49,du ligament,98,92
fr,50,patellaire,98,92
fr,51,corps,96,92
fr,52,sans déchirure,93,92
fr,53,conclusion,91,92
fr,54,corne postérieure,89,92
fr,55,tendon,88,92
fr,56,ménisque interne,88,92
fr,57,les,88,92
fr,58,intra-articulaire,85,92
fr,59,grade,83,92
fr,60,sont,82,92
fr,61,dans,81,92
fr,62,niveau,79,92
fr,63,impliquant,79,92
fr,64,croisé antérieur,78,92
fr,65,épanchement intra-articulaire,74,92
fr,66,en,73,92
fr,67,au niveau,73,92
fr,68,complexe,67,92
fr,69,baker,66,92
fr,70,de baker,66,92
fr,71,modérée,66,92
fr,72,kyste de,66,92
fr,73,collatéral interne,65,92
fr,74,chondropathie,65,92
fr,75,croisé postérieur,64,92
fr,76,distal,63,92
fr,77,particularité,63,92
fr,78,signal,63,92
fr,79,plus,63,92
fr,80,avec une,63,92
fr,81,sans particularité,62,92
fr,82,léger,61,92
fr,83,fémoral,60,92
fr,84,œdème,60,92
fr,85,et la,60,92
fr,86,normal ligament,59,92
fr,87,le ménisque,59,92
fr,88,du compartiment,59,92
fr,89,il n'y,58,92
fr,90,n'y,58,92
fr,91,que,57,92
fr,92,n'y pas,56,92
fr,93,kyste poplité,56,92
fr,94,trouvailles,55,92
fr,95,condyle,55,92
fr,96,une déchirure,55,92
fr,97,significatif,54,92
fr,98,transfixiante,53,92
fr,99,condyle fémoral,53,92
fr,100,au compartiment,52,92
hr,1,signala,1582,401
hr,2,je,883,401
hr,3,se,881,401
hr,4,intenziteta,862,401
hr,5,intenziteta signala,851,401
hr,6,uz,793,401
hr,7,ligamenta,688,401
hr,8,medijalnog,685,401
hr,9,ligament,683,401
hr,10,bez,629,401
hr,11,hrskavice,610,401
hr,12,su,589,401
hr,13,znakova,555,401
hr,14,meniska,545,401
hr,15,tetive,541,401
hr,16,rupture,493,401
hr,17,lateralnog,488,401
hr,18,promjene,480,401
hr,19,lateralni,474,401
hr,20,bez znakova,453,401
hr,21,križni,441,401
hr,22,te,435,401
hr,23,stupnja,433,401
hr,24,stražnjeg,413,401
hr,25,križni ligament,408,401
hr,26,medijalni,400,401
hr,27,hondromalacija,397,401
hr,28,na,387,401
hr,29,zgloba,382,401
hr,30,kontinuiteta,379,401
hr,31,održanog,375,401
hr,32,menisk,373,401
hr,33,femura,365,401
hr,34,održanog kontinuiteta,364,401
hr,35,intenzitet,354,401
hr,36,ruptura,344,401
hr,37,intenzitet signala,342,401
hr,38,roga,334,401
hr,39,primjerenih,334,401
hr,40,nalazi,323,401
hr,41,nalazi se,319,401
hr,42,primjerenih intenziteta,318,401
hr,43,kvadricepsa,318,401
hr,44,patele,316,401
hr,45,ciste,307,401
hr,46,kolateralni,306,401
hr,47,edem,303,401
hr,48,znakova rupture,302,401
hr,49,ligament je,299,401
hr,50,stražnji,298,401
hr,51,tijela,280,401
hr,52,hvatišta,279,401
hr,53,patelarnog,279,401
hr,54,uredan,275,401
hr,55,prednjeg,263,401
hr,56,kondila,263,401
hr,57,tibije,260,401
hr,58,mm,258,401
hr,59,kontinuitetu,253,401
hr,60,promjena,252,401
hr,61,stražnjeg roga,251,401
hr,62,prednji,251,401
hr,63,tetive kvadricepsa,250,401
hr,64,morfologije,250,401
hr,65,križnog,244,401
hr,66,medijalnog meniska,244,401
hr,67,patelarnog ligamenta,243,401
hr,68,signala održanog,243,401
hr,69,stražnji križni,242,401
hr,70,križnog ligamenta,237,401
hr,71,prikazane,234,401
hr,72,koštane,233,401
hr,73,lateralni menisk,231,401
hr,74,urednog,229,401
hr,75,iliotibijalnog,228,401
hr,76,smislu,228,401
hr,77,platoa,222,401
hr,78,izljeva,221,401
hr,79,izljev,215,401
hr,80,cista,214,401
hr,81,degeneracije,214,401
hr,82,te se,212,401
hr,83,strukture,207,401
hr,84,signala te,206,401
hr,85,poplitealne,206,401
hr,86,patelarni,194,401
hr,87,urednog signala,191,401
hr,88,prednji križni,187,401
hr,89,morfologije intenziteta,185,401
hr,90,ne,184,401
hr,91,ili,184,401
hr,92,uredna,184,401
hr,93,uredne,182,401
hr,94,uredan intenzitet,181,401
hr,95,hvatištu,180,401
hr,96,kondila femura,179,401
hr,97,prati,177,401
hr,98,fasete,176,401
hr,99,prikazane koštane,175,401
hr,100,ostale,171,401
la,1,of,248,53
la,2,normal,186,53
la,3,medial,137,53
la,4,meniscus,120,53
la,5,lateral,110,53
la,6,and,104,53
la,7,the,91,53
la,8,no,82,53
la,9,of the,64,53
la,10,knee,64,53
la,11,medial meniscus,63,53
la,12,effusion,63,53
la,13,meniscus normal,60,53
la,14,acl,59,53
la,15,cyst,59,53
la,16,with,53,53
la,17,tear,53,53
la,18,lateral meniscus,49,53
la,19,mcl,47,53
la,20,baker's cyst,44,53
la,21,baker's,44,53
la,22,mri,43,53
la,23,mri of,43,53
la,24,conclusion,42,53
la,25,the knee,42,53
la,26,patellar,41,53
la,27,normal medial,40,53
la,28,technique,39,53
la,29,technique mri,39,53
la,30,mcl normal,37,53
la,31,compartment,37,53
la,32,knee acl,36,53
la,33,no baker's,36,53
la,34,of medial,36,53
la,35,acl normal,35,53
la,36,femoral,35,53
la,37,bone,34,53
la,38,normal mcl,33,53
la,39,posterior,33,53
la,40,in,31,53
la,41,no effusion,31,53
la,42,tendon,30,53
la,43,cyst no,27,53
la,44,mild,25,53
la,45,cartilages,24,53
la,46,is,24,53
la,47,normal no,24,53
la,48,chondromalacia,23,53
la,49,of lateral,23,53
la,50,normal lateral,23,53
la,51,cartilages normal,22,53
la,52,tibial,22,53
la,53,cartilage,22,53
la,54,normal cartilages,22,53
la,55,condyl,21,53
la,56,patella,20,53
la,57,to,20,53
la,58,intact,20,53
la,59,degeneration,19,53
la,60,lateral femoral,19,53
la,61,retinaculum,19,53
la,62,effusion conclusion,19,53
la,63,joint,18,53
la,64,meniscus tear,17,53
la,65,oedema,17,53
la,66,fracture,17,53
la,67,femoral condyl,17,53
la,68,right,16,53
la,69,marrow,16,53
la,70,bone marrow,16,53
la,71,horn,16,53
la,72,bursitis,16,53
la,73,at,15,53
la,74,and medial,15,53
la,75,ligament,15,53
la,76,of right,14,53
la,77,grade,14,53
la,78,of posterior,14,53
la,79,subchondral,14,53
la,80,right knee,14,53
la,81,posterior horn,14,53
la,82,plateau,14,53
la,83,suprapatellar,14,53
la,84,articular,14,53
la,85,and lateral,14,53
la,86,chondromalacia of,14,53
la,87,tibial plateau,14,53
la,88,oa,13,53
la,89,anterior,13,53
la,90,fs,13,53
la,91,fat,13,53
la,92,lateral tibial,12,53
la,93,edema,12,53
la,94,articular cartilage,12,53
la,95,lcl,12,53
la,96,condyle,12,53
la,97,patellofemoral,12,53
la,98,pcl,12,53
la,99,meniscus degeneration,12,53
la,100,femoral condyle,12,53
nl,1,van,782,153
nl,2,de,718,153
nl,3,met,502,153
nl,4,van de,419,153
nl,5,mediale,325,153
nl,6,en,313,153
nl,7,het,308,153
nl,8,meniscus,281,153
nl,9,laterale,257,153
nl,10,op,204,153
nl,11,voorkomen,203,153
nl,12,intact,197,153
nl,13,mediaal,185,153
nl,14,normaal,180,153
nl,15,geen,179,153
nl,16,knie,174,153
nl,17,date,166,153
nl,18,gescande aanvraag,166,153
nl,19,gescande,166,153
nl,20,aanvraag,166,153
nl,21,van het,166,153
nl,22,zie gescande,166,153
nl,23,zie,166,153
nl,24,in,164,153
nl,25,de mediale,164,153
nl,26,bevindingen,158,153
nl,27,kruisband,156,153
nl,28,klinische,156,153
nl,29,inlichtingen,155,153
nl,30,klinische inlichtingen,155,153
nl,31,mr,153,153
nl,32,date mr,152,153
nl,33,mediale meniscus,151,153
nl,34,mr knie,148,153
nl,35,aa,148,153
nl,36,aa klinische,146,153
nl,37,diagnostische,146,153
nl,38,scheur,142,153
nl,39,vraagstelling,137,153
nl,40,graad,133,153
nl,41,lateraal,132,153
nl,42,intacte,132,153
nl,43,diagnostische vraagstelling,132,153
nl,44,kraakbeenlijden,129,153
nl,45,ligament,127,153
nl,46,posterieure,124,153
nl,47,femorotibiaal,118,153
nl,48,kraakbeen,117,153
nl,49,normaal voorkomen,110,153
nl,50,botoedeem,108,153
nl,51,hoorn,107,153
nl,52,hydrops,103,153
nl,53,voorste,103,153
nl,54,collateraal ligament,102,153
nl,55,collateraal,102,153
nl,56,normale,98,153
nl,57,laterale meniscus,96,153
nl,58,besluit,91,153
nl,59,voorste kruisband,90,153
nl,60,posterieure hoorn,90,153
nl,61,in de,86,153
nl,62,de posterieure,85,153
nl,63,op de,84,153
nl,64,links,84,153
nl,65,inlichtingen zie,81,153
nl,66,aanvraag diagnostische,81,153
nl,67,vraagstelling zie,80,153
nl,68,aanvraag bevindingen,79,153
nl,69,de laterale,78,153
nl,70,rechts,78,153
nl,71,patellapees,77,153
nl,72,knie links,76,153
nl,73,kleine,75,153
nl,74,matige,75,153
nl,75,knie rechts,74,153
nl,76,rechts aa,73,153
nl,77,links aa,73,153
nl,78,corpus,73,153
nl,79,hoorn van,72,153
nl,80,kruisbanden,70,153
nl,81,degeneratieve,69,153
nl,82,kraakbeenlijden graad,66,153
nl,83,kraakbeendefecten,64,153
nl,84,oedeem,63,153
nl,85,dikte,61,153
nl,86,majeure,61,153
nl,87,geen majeure,60,153
nl,88,het corpus,60,153
nl,89,mediaal femorotibiaal,60,153
nl,90,majeure kraakbeendefecten,59,153
nl,91,meniscus met,59,153
nl,92,opzetting,58,153
nl,93,tibiaplateau,58,153
nl,94,bakercyste,58,153
nl,95,recessus,58,153
nl,96,mediaal collateraal,58,153
nl,97,voorkomen van,56,153
nl,98,lichte,56,153
nl,99,cyste,56,153
nl,100,banden,56,153
tr,1,ve,2496,546
tr,2,medial,1264,546
tr,3,lateral,1162,546
tr,4,çapraz,1064,546
tr,5,normal,956,546
tr,6,menisküs,929,546
tr,7,normaldir,896,546
tr,8,eklem,748,546
tr,9,diz,744,546
tr,10,çok,742,546
tr,11,bağ,721,546
