StudyInstanceUID,SeriesInstanceUID,Status,MetadataPlane,GeometryPlane,GeometryConfidence,PlaneMatch,PlaneUsed,TargetOrientation,OrientationTransform,MinOrientationAlignment,OriginalSliceCount,RequestedSelectedSlices,EncodedSliceCount,DecodeFailures,PhysicalSpanMM
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.12899608222010739549162228949977121036,OK,Axial,Axial,0.9999748568233847,True,Axial,PL,none,0.9844882951243624,30,24,24,0,113.09999640944508
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10997243274493644695137773062377650204,OK,Axial,Axial,0.9999748568233847,True,Axial,PL,none,0.9844882951243624,30,24,24,0,113.09999640944508
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.74504704425600751221038968098633701528,OK,Axial,Axial,0.9972087796415932,True,Axial,PL,none,0.9657572704581244,160,24,24,0,95.40000000000109
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10407754553908392233077656347467111543,OK,Coronal,Coronal,0.8410046512083065,True,Coronal,IL,none,0.8754577955973532,16,16,16,0,35.99999928975952
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.10440591424169021316962862657887905795,OK,Coronal,Coronal,0.9772722828182105,True,Coronal,IL,none,0.9839762599720163,32,24,24,0,111.60000327879473
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.76947689399889739752390906772011627242,OK,Coronal,Coronal,0.9772722828182105,True,Coronal,IL,none,0.9839762599720163,32,24,24,0,111.60000327879096
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.81917956022130221494316872143485515885,OK,Coronal,Coronal,0.9772722828182105,True,Coronal,IL,none,0.9839762599720163,32,24,24,0,111.60000327879096
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.18313433830014722992362938871973097711,OK,Sagittal,Sagittal,0.9924272924507332,True,Sagittal,IP,none,0.993360257889034,29,24,24,0,100.8000050639095
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.12035938794439579756583835150081778633,OK,Sagittal,Sagittal,0.9924272924507332,True,Sagittal,IP,none,0.993360257889034,29,24,24,0,100.80000506391124
1.2.826.0.1.3680043.8.498.10009639203170750274174707434356622764,1.2.826.0.1.3680043.8.498.95157380062318250808693914483306796699,OK,Sagittal,Sagittal,0.9924272924507332,True,Sagittal,IP,none,0.993360257889034,29,24,24,0,100.80000506391124
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.11982164807463634778369544669639739403,OK,Axial,Axial,0.9967246648366658,True,Axial,PL,none,0.9980266983125403,40,24,24,0,128.70017649038198
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.94462014065647174693220681811845777102,OK,Axial,Axial,0.9967246648366658,True,Axial,PL,none,0.9980266983125403,40,24,24,0,128.70017649038198
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.87738065849001552362672384225773846709,OK,Coronal,Coronal,0.9883856104971974,True,Coronal,IL,none,0.9889317731306714,38,24,24,0,122.10002691940373
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.70243599053060014636616038265618938578,OK,Sagittal,Sagittal,0.9747879769978168,True,Sagittal,IP,none,0.9753277228957786,35,24,24,0,112.19972353528735
1.2.826.0.1.3680043.8.498.10013663742400736029415768216599146542,1.2.826.0.1.3680043.8.498.17496901872433262274477070632489305322,OK,Sagittal,Sagittal,0.9747879769978168,True,Sagittal,IP,none,0.9753277228957786,35,24,24,0,112.19972353528735
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.23891625731161491661628238457017424651,OK,Axial,Axial,0.9933819247017829,True,Axial,PL,none,0.9934918662762238,30,24,24,0,130.49984926640008
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.89117237872314402116920169434632625063,OK,Axial,Axial,0.9835062881805581,True,Axial,PL,none,0.9882642702497244,22,22,22,0,46.19995990924743
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.67294291903707258636363422483846920874,OK,Coronal,Coronal,0.9941841161291379,True,Coronal,IL,none,0.9968841234701722,32,24,24,0,102.2998789625176
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.96277058087102759370159028042426256271,OK,Coronal,Coronal,0.9941841161291379,True,Coronal,IL,none,0.9968841234701722,32,24,24,0,102.29984799963393
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.13316012614172613981502777804567639106,OK,Sagittal,Sagittal,0.9606924154902766,True,Sagittal,IP,none,0.9568385241255567,41,24,24,0,88.0006729869271
1.2.826.0.1.3680043.8.498.10018552945042470316597008531304016339,1.2.826.0.1.3680043.8.498.83614010998801212494242431788612349272,OK,Sagittal,Sagittal,0.9606924154902766,True,Sagittal,IP,none,0.9568385241255567,41,24,24,0,88.00046335900598
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.94288268297326706009195326058014280624,OK,Axial,Axial,0.9975757112033627,True,Axial,PL,none,0.9975839040036555,22,22,22,0,92.4000051418538
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.11078374186526205724225825735159012398,OK,Coronal,Coronal,0.996068266544933,True,Coronal,IL,none,0.9966364904218484,22,22,22,0,92.39999397798552
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.42759405933119955877969739566391261556,OK,Sagittal,Sagittal,0.9983088337124569,True,Sagittal,IP,none,0.9983088337840957,22,22,22,0,92.40000078843164
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.92080591929803140221312603969153072299,OK,Sagittal,Sagittal,0.9983088337124569,True,Sagittal,IP,none,0.9983088337840957,22,22,22,0,92.40000078843153
1.2.826.0.1.3680043.8.498.10018749256316287542884435387067561101,1.2.826.0.1.3680043.8.498.69783908410864161211158583420543900194,OK,Sagittal,Sagittal,0.9983088337124569,True,Sagittal,IP,none,0.9983088337840957,22,22,22,0,92.40000078843153
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.28176392245110944163839399659439535293,OK,Axial,Axial,0.9884457563117238,True,Axial,PL,none,0.9917183576245794,51,24,24,0,164.9999940525767
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.29394504594736036797747420525794983796,OK,Coronal,Coronal,0.9917183565979484,True,Coronal,IL,none,0.9884457552547908,40,24,24,0,128.69999691756374
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.11928835253023108906781394031354721015,OK,Coronal,Coronal,0.9884591334024363,True,Coronal,IL,none,0.9851716212548577,40,24,24,0,128.69999513295045
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.45505982741294694594566589551444886225,OK,Coronal,Coronal,0.9884591334024363,True,Coronal,IL,none,0.9851716212548577,40,24,24,0,128.69999513295045
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.40276795343885792876679271332419202926,OK,Sagittal,Sagittal,0.9965335258072714,True,Sagittal,IP,none,0.9949619959641498,35,24,24,0,112.2000001992952
1.2.826.0.1.3680043.8.498.10021179701366615563817491713738306606,1.2.826.0.1.3680043.8.498.36575741184530379556865901754021617448,OK,Sagittal,Sagittal,0.9965335258072714,True,Sagittal,IP,none,0.9949619959641498,35,24,24,0,112.20000019930302
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.78517915125227969420323795995142127096,OK,Axial,Axial,0.993904579954039,True,Axial,PL,none,0.9820990813595727,24,24,24,0,91.9999913065905
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.17825809991194664057092474839495289855,OK,Coronal,Coronal,0.9919192136350151,True,Coronal,IL,none,0.9905949391503044,27,24,24,0,103.99971546170535
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.71462627071432782612166533162526483355,OK,Coronal,Coronal,0.9919192136350151,True,Coronal,IL,none,0.9905949391503044,27,24,24,0,103.99971546170535
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.28399217752101799876825340333611472859,OK,Sagittal,Sagittal,0.9917868359496815,True,Sagittal,IP,none,0.9950128777955879,20,20,20,0,75.99945757069536
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.31741811035194354173478691569737355732,OK,Sagittal,Sagittal,0.9917868359496815,True,Sagittal,IP,none,0.9950128777955879,20,20,20,0,75.99945757069536
1.2.826.0.1.3680043.8.498.10021288557171866794624317186288618513,1.2.826.0.1.3680043.8.498.10887922642378821953149095448791960311,OK,Sagittal,Sagittal,0.9917867720488467,True,Sagittal,IP,none,0.9950128464263215,20,20,20,0,75.99956270617199
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.52503045794545563216216974185473269584,OK,Axial,Axial,0.9975746396264639,True,Axial,PL,none,0.9331634207040823,40,24,24,0,171.59999773505393
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.58180411352017518670923060837962824092,OK,Coronal,Coronal,0.9197252298681079,True,Coronal,IL,none,0.9237305481763184,41,24,24,0,140.00000213195753
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.17927783255029019223687232936481918350,OK,Sagittal,Sagittal,0.9334529415088698,True,Sagittal,IP,none,0.9334529415088698,26,24,24,0,97.50001064724991
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.47103829651127852726285439804808053437,OK,Sagittal,Sagittal,0.9334529415088698,True,Sagittal,IP,none,0.9334529415088698,26,24,24,0,97.50001064724991
1.2.826.0.1.3680043.8.498.10025765742726180988537955593315007559,1.2.826.0.1.3680043.8.498.12296387404690065979747592907647620416,OK,Sagittal,Sagittal,0.9334529415088698,True,Sagittal,IP,none,0.9334529415088698,26,24,24,0,97.50001064724991
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.12085504130809929729103897247086930468,OK,Axial,Axial,0.9991309117191164,True,Axial,PL,none,0.9940460306189592,36,24,24,0,115.50006802301131
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.36920113116383282710943538994927981876,OK,Coronal,Coronal,0.9931340983472233,True,Coronal,IL,none,0.9918384297543565,30,24,24,0,95.69993699295955
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.22350941940168581233659964138249514718,OK,Sagittal,Sagittal,0.9927447954521009,True,Sagittal,IP,none,0.9924551916391263,32,24,24,0,102.29986129298655
1.2.826.0.1.3680043.8.498.10026410865298348818136520318965356394,1.2.826.0.1.3680043.8.498.10039810104099273075015998627058683073,OK,Sagittal,Sagittal,0.9927447954521009,True,Sagittal,IP,none,0.9924551916391263,32,24,24,0,102.29986129298655
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.93204062869632903043115397277688722632,OK,Axial,Axial,0.9939998629089116,True,Axial,PL,none,0.9787809774376606,32,24,24,0,141.05000134563062
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.10398122283136151623747293132260100759,OK,Coronal,Coronal,0.9846117497279072,True,Coronal,IL,none,0.9804632988442165,32,24,24,0,102.29999828366185
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.77941154390263872263584692780262100897,OK,Coronal,Coronal,0.9846117497279072,True,Coronal,IL,none,0.9804632988442165,32,24,24,0,102.2999982836591
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.10612361005926251456847561956635262722,OK,Sagittal,Sagittal,0.8882718447853878,True,Sagittal,IP,none,0.8954626209005218,32,24,24,0,92.99997080234911
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.87400072663116536448673623612489172444,OK,Sagittal,Sagittal,0.8882718447853878,True,Sagittal,IP,none,0.8954626209005218,32,24,24,0,92.99996868917934
1.2.826.0.1.3680043.8.498.10029168398037940681915299760479434938,1.2.826.0.1.3680043.8.498.61060692464231753798040762152369852425,OK,Sagittal,Sagittal,0.8882718873332625,True,Sagittal,IP,none,0.8954626259608218,32,24,24,0,93.0000028023837
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.10138400860303228304047985771421435784,OK,Axial,Axial,0.9988307181843483,True,Axial,PL,none,0.9896465752490335,26,24,24,0,97.50000283830491
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.12061584096631077508632129628209972719,OK,Axial,Axial,0.9988307181843483,True,Axial,PL,none,0.9896465752490335,26,24,24,0,97.50000283830491
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.40067587795096624398858253836281924077,OK,Coronal,Coronal,0.8604404770410344,True,Coronal,IL,none,0.8608625147061186,16,16,16,0,36.00000048810847
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.85333757578596026834805540362380833241,OK,Coronal,Coronal,0.9991897726727572,True,Coronal,IL,none,0.9993701758260589,30,24,24,0,104.39999840118558
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.87979090750692080284624781117007957118,OK,Coronal,Coronal,0.9991897726727572,True,Coronal,IL,none,0.9993701758260589,30,24,24,0,104.39999840118558
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.12283902861056341541201338138068066294,OK,Sagittal,Sagittal,0.9822947836518143,True,Sagittal,IP,none,0.9822949907872998,26,24,24,0,89.99999777329327
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.11788164428905677775308855476550714595,OK,Sagittal,Sagittal,0.9822947836518143,True,Sagittal,IP,none,0.9822949907872998,26,24,24,0,89.99999777329327
1.2.826.0.1.3680043.8.498.10029520033957968044048068502185417806,1.2.826.0.1.3680043.8.498.12595857485273978815469036481976397270,OK,Sagittal,Sagittal,0.9822947836518143,True,Sagittal,IP,none,0.9822949907872998,26,24,24,0,89.99999777329327
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,1.2.826.0.1.3680043.8.498.10261053202170116880341199746093649009,OK,Axial,Axial,0.9999377193056038,True,Axial,PL,none,0.9870840436600103,23,23,23,0,114.39999678715014
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,1.2.826.0.1.3680043.8.498.85682196050262263484642671710534742181,OK,Coronal,Coronal,0.9945479572830668,True,Coronal,IL,none,0.9963771461269474,20,20,20,0,91.20000127105256
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,1.2.826.0.1.3680043.8.498.23046051137177793352388369210745150056,OK,Coronal,Coronal,0.9966014229820107,True,Coronal,IL,none,0.99680983898805,20,20,20,0,98.79999836223591
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,1.2.826.0.1.3680043.8.498.75650187531194852023871501055652723295,OK,Sagittal,Sagittal,0.9963452930284232,True,Sagittal,IP,none,0.9957383458982375,19,19,19,0,93.59999972871202
1.2.826.0.1.3680043.8.498.10039686090738454718354181337513293981,1.2.826.0.1.3680043.8.498.34261736157116391641290714895482792113,OK,Sagittal,Sagittal,0.9963452975658452,True,Sagittal,IP,none,0.9963452975658452,23,23,23,0,92.39999826896279
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,1.2.826.0.1.3680043.8.498.41751407285593261301937942061885125240,OK,Axial,Axial,0.992207293228017,True,Axial,PL,none,0.9891946788131842,21,21,21,0,109.9999512518124
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,1.2.826.0.1.3680043.8.498.64945894485172824370200401071778190389,OK,Coronal,Coronal,0.9908761188709327,True,Coronal,IL,none,0.9943764885436347,20,20,20,0,95.00001410584073
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,1.2.826.0.1.3680043.8.498.33316216096749283413269516635969265980,OK,Sagittal,Sagittal,0.9930400978816848,True,Sagittal,IP,none,0.993000113631785,19,19,19,0,89.99990988671509
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,1.2.826.0.1.3680043.8.498.70129634833277575961221452682822711442,OK,Sagittal,Sagittal,0.9930400978816848,True,Sagittal,IP,none,0.993000113631785,19,19,19,0,89.99990988671509
1.2.826.0.1.3680043.8.498.10048842414095994814596043262132965018,1.2.826.0.1.3680043.8.498.60519317366971570170934879228359117304,OK,Sagittal,Sagittal,0.9930400978816848,True,Sagittal,IP,none,0.993000113631785,19,19,19,0,89.99990988671509
1.2.826.0.1.3680043.8.498.10058298717414171145622092128156266866,1.2.826.0.1.3680043.8.498.12421004035680984708227339687183062277,OK,Axial,Axial,0.9986424653528095,True,Axial,PL,none,0.9978587109021125,38,24,24,0,133.19999909731868
1.2.826.0.1.3680043.8.498.10058298717414171145622092128156266866,1.2.826.0.1.3680043.8.498.68571912553884111541823558096195433355,OK,Coronal,Coronal,0.9845156982295281,True,Coronal,IL,none,0.9847978183715836,32,24,24,0,102.30019790427635
1.2.826.0.1.3680043.8.498.10058298717414171145622092128156266866,1.2.826.0.1.3680043.8.498.33788855095027519865615604807327323172,OK,Coronal,Coronal,0.984515578390066,True,Coronal,IL,none,0.9847979016900875,36,24,24,0,115.50043038364379
1.2.826.0.1.3680043.8.498.10058298717414171145622092128156266866,1.2.826.0.1.3680043.8.498.80126107048478277295386095863259178495,OK,Sagittal,Sagittal,0.9800657734991182,True,Sagittal,IP,none,0.9800658405996544,30,24,24,0,95.70051702539017
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,1.2.826.0.1.3680043.8.498.12351434285244105587327544381760836887,OK,Axial,Axial,0.9846113842911706,True,Axial,PL,none,0.9848136943884702,20,20,20,0,139.37922322131533
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,1.2.826.0.1.3680043.8.498.10705298691863112379533269403436857260,OK,Coronal,Coronal,0.9848136944058351,True,Coronal,IL,none,0.9846113842338926,16,16,16,0,93.70125473966202
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,1.2.826.0.1.3680043.8.498.10709481291181856834545021650181350504,OK,Coronal,Coronal,0.9848136944058351,True,Coronal,IL,none,0.9846113842338926,16,16,16,0,93.70125473966482
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,1.2.826.0.1.3680043.8.498.11884288089525709808993974550713797228,OK,Sagittal,Sagittal,0.9989594411076941,True,Sagittal,IP,none,0.9913548807521841,22,22,22,0,101.51525608277217
1.2.826.0.1.3680043.8.498.10059200627175320481920009076697103801,1.2.826.0.1.3680043.8.498.99708703036078965966876737788881385029,OK,Sagittal,Sagittal,0.9989594411076941,True,Sagittal,IP,none,0.9913548807521841,22,22,22,0,101.51525608277119
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,1.2.826.0.1.3680043.8.498.76206109519289930878461038242097331022,OK,Axial,Axial,0.9998544726505655,True,Axial,PL,none,0.9996309832433944,35,24,24,0,118.99999714712357
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,1.2.826.0.1.3680043.8.498.98396227490752197049907798146084545731,OK,Coronal,Coronal,0.9996309831953799,True,Coronal,IL,none,0.9997720922346006,30,24,24,0,101.49999280011671
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,1.2.826.0.1.3680043.8.498.67214754783910771084803504086410905872,OK,Coronal,Coronal,0.9996309831953799,True,Coronal,IL,none,0.9997720922346006,30,24,24,0,101.49999280011671
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,1.2.826.0.1.3680043.8.498.52617317497828611151327175969188939183,OK,Sagittal,Sagittal,0.9997720922754032,True,Sagittal,IP,none,0.9996309832433944,30,24,24,0,101.49999037914651
1.2.826.0.1.3680043.8.498.10061120822929703004201627784850458401,1.2.826.0.1.3680043.8.498.51676946161186468941650577339931945923,OK,Sagittal,Sagittal,0.9997720922754032,True,Sagittal,IP,none,0.9996309832433944,30,24,24,0,101.49999037914651
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,1.2.826.0.1.3680043.8.498.58849834278018158596588761481850832613,OK,Axial,Axial,0.9985304741535608,True,Axial,PL,none,0.9988826337538297,19,19,19,0,107.99996737328172
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,1.2.826.0.1.3680043.8.498.21392572370649076486729381864268170044,OK,Coronal,Coronal,0.99888341099871,True,Coronal,IL,none,0.99888341099871,17,17,17,0,96.0000305945
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,1.2.826.0.1.3680043.8.498.12167816600846465625393732895688146085,OK,Sagittal,Sagittal,0.9999382964519057,True,Sagittal,IP,none,0.9999382964519057,15,15,15,0,83.99995673949999
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,1.2.826.0.1.3680043.8.498.72927358331925618209337297088502467019,OK,Sagittal,Sagittal,0.9999382964519057,True,Sagittal,IP,none,0.9999382964519057,17,17,17,0,96.00000134870001
1.2.826.0.1.3680043.8.498.10064642360075735959136394136507408269,1.2.826.0.1.3680043.8.498.60540822688937024151515211249136527086,OK,Sagittal,Sagittal,0.9999382964519057,True,Sagittal,IP,none,0.9999382964519057,16,16,16,0,90.000029041
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,1.2.826.0.1.3680043.8.498.26822768456111767807589411073221552859,OK,Axial,Axial,0.9970527522885377,True,Axial,PL,none,0.9839472073328878,32,24,24,0,120.90000427145465
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,1.2.826.0.1.3680043.8.498.17360824747479003641890365728229234850,OK,Axial,Axial,0.9970527523630834,True,Axial,PL,none,0.9839471982586466,160,24,24,0,95.3999999999982
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,1.2.826.0.1.3680043.8.498.52444697164788705175272253472603452510,OK,Axial,Axial,0.9970527522885377,True,Axial,PL,none,0.9839472073328878,32,24,24,0,120.90000427145465
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,1.2.826.0.1.3680043.8.498.11547431245652234248420888650946548426,OK,Coronal,Coronal,0.985242962874879,True,Coronal,IL,none,0.9873593451081708,30,24,24,0,104.39999774191706
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,1.2.826.0.1.3680043.8.498.12732383166865567737155895240298731328,OK,Coronal,Coronal,0.8117963575098397,True,Coronal,IL,none,0.8270594165028838,16,16,16,0,36.00000137103822
1.2.826.0.1.3680043.8.498.10066945398485042741116657288959323922,1.2.826.0.1.3680043.8.498.10615181069597744316725609035737538256,OK,Coronal,Coronal,0.985242962874879,True,Coronal,IL,none,0.9873593451081708,30,24,24,0,104.39999774191702
