StudyInstanceUID,SeriesInstanceUID,DescriptionType,SeriesDescription,Fluid_Sensitive,Fat_Suppression,TrainSeries_AnatomicalPlane,DICOM_AnatomicalPlane,PlaneMatch,NumberOfSlices,Rows,Columns,PixelSpacing,SliceThickness,SpacingBetweenSlices,SequenceName,ScanningSequence,SequenceVariant,Manufacturer,ManufacturerModelName,MagneticFieldStrength,EchoTime,RepetitionTime,FlipAngle,AcquisitionSignature
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.50541620645720855824205648399443392422,Dummy,DummySeriesDesc!,0,0,Sagittal,Sagittal,True,130,512,512,"[0.3906, 0.3906]",1.96,1,,RM,NONE,GE MEDICAL SYSTEMS,SIGNA Architect,3,0.016,614.443,1.0,"NA|0|0|512.0|512.0|[0.3906, 0.3906]|1.96|1.0|0.016|614.443|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.78694137355734392084709645092123826539,Dummy,DummySeriesDesc!,0,0,Sagittal,Sagittal,True,130,512,512,"[0.3906, 0.3906]",1.96,1,,RM,NONE,GE MEDICAL SYSTEMS,SIGNA Architect,3,0.016,614.443,1.0,"NA|0|0|512.0|512.0|[0.3906, 0.3906]|1.96|1.0|0.016|614.443|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.91788561458986377357724485302758393770,Dummy,DummySeriesDesc!,1,1,Sagittal,Sagittal,True,28,1024,1024,"[0.1465, 0.1465]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA Architect,3,31.168,2243,142.0,"NA|1|1|1024.0|1024.0|[0.1465, 0.1465]|3.0|4.0|31.168|2243.0|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.17844546765907321649997094867791102711,1.2.826.0.1.3680043.8.498.95606550916008567790627612199625980395,Dummy,DummySeriesDesc!,1,1,Coronal,Coronal,True,30,1024,1024,"[0.1465, 0.1465]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA Architect,3,27.24,2282,142.0,"NA|1|1|1024.0|1024.0|[0.1465, 0.1465]|3.0|4.0|27.24|2282.0|GE MEDICAL SYSTEMS|SIGNA Architect"
1.2.826.0.1.3680043.8.498.26790702379506190936834447203448882465,1.2.826.0.1.3680043.8.498.10841555934521578415607333181263233138,Dummy,DummySeriesDesc!,1,1,Axial,Axial,True,30,448,448,"[0.3571428656578, 0.3571428656578]",4,4.4,,SE,SK,Philips Medical Systems,Ingenia,3,35,2472.38842773437,90,"NA|1|1|448.0|448.0|[0.3571428656578, 0.3571428656578]|4.0|4.4|35.0|2472.3884|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.26790702379506190936834447203448882465,1.2.826.0.1.3680043.8.498.11361238702894937883953390052085014194,Dummy,DummySeriesDesc!,1,1,Coronal,Coronal,True,28,512,512,"[0.3125, 0.3125]",3.2,3.7,,SE,SK,Philips Medical Systems,Ingenia,3,35,2307.5654296875,90,"NA|1|1|512.0|512.0|[0.3125, 0.3125]|3.2|3.7|35.0|2307.5654|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.26790702379506190936834447203448882465,1.2.826.0.1.3680043.8.498.76639110060009477040774057211843609294,Dummy,DummySeriesDesc!,0,0,Sagittal,Sagittal,True,28,512,512,"[0.31124749779701, 0.31124749779701]",3,3.3,,SE,SK,Philips Medical Systems,Ingenia,3,15,664.615783691406,90,"NA|0|0|512.0|512.0|[0.31124749779701, 0.31124749779701]|3.0|3.3|15.0|664.6158|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.26790702379506190936834447203448882465,1.2.826.0.1.3680043.8.498.94882074570038908340209357507037939938,Dummy,DummySeriesDesc!,1,1,Sagittal,Sagittal,True,28,512,512,"[0.31124749779701, 0.31124749779701]",3,3.3,,SE,SK,Philips Medical Systems,Ingenia,3,35,2445.3212890625,90,"NA|1|1|512.0|512.0|[0.31124749779701, 0.31124749779701]|3.0|3.3|35.0|2445.3213|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.17611332847226601740186107923664950771,Blank,,0,0,Axial,Axial,True,27,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,11.28,540,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|11.28|540.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.40175815168544280787064836169050383117,Blank,,0,0,Sagittal,Sagittal,True,26,512,512,"[0.3906, 0.3906]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,85.752,4420,90,"NA|0|0|512.0|512.0|[0.3906, 0.3906]|3.0|4.0|85.752|4420.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.47805453452773251051087617080685747579,Blank,,0,0,Coronal,Coronal,True,28,512,512,"[0.3711, 0.3711]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,11.36,540,90,"NA|0|0|512.0|512.0|[0.3711, 0.3711]|3.0|4.0|11.36|540.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.52966130058305317432166084275691469532,Blank,,1,1,Coronal,Coronal,True,28,512,512,"[0.3711, 0.3711]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.384,2760,90,"NA|1|1|512.0|512.0|[0.3711, 0.3711]|3.0|4.0|34.384|2760.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.57952016660464582538662197640603722688,Blank,,1,1,Sagittal,Sagittal,True,26,512,512,"[0.3906, 0.3906]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,33.572,2560,90,"NA|1|1|512.0|512.0|[0.3906, 0.3906]|3.0|4.0|33.572|2560.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.90127119301181531941224430342751992150,Blank,,0,0,Axial,Axial,True,27,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,87.696,4520,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|87.696|4520.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.27437263843446879932281897446100134924,1.2.826.0.1.3680043.8.498.93781959954444342274739507690603815285,Blank,,1,1,Axial,Axial,True,27,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.104,2600,90,"NA|1|1|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|34.104|2600.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.29764868091238287072166823522853419550,1.2.826.0.1.3680043.8.498.10554209211078193916454348670841484936,Dummy,DummySeriesDesc!,1,1,Sagittal,Sagittal,True,35,512,512,"[0.3125, 0.3125]",3,3.3,,SE,SK,Philips Medical Systems,Ingenia,3,35,3143.97900390625,90,"NA|1|1|512.0|512.0|[0.3125, 0.3125]|3.0|3.3|35.0|3143.979|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.29764868091238287072166823522853419550,1.2.826.0.1.3680043.8.498.77755509181820937582475082973876194850,Dummy,DummySeriesDesc!,0,0,Sagittal,Sagittal,True,35,512,512,"[0.3125, 0.3125]",3,3.3,,SE,SK,Philips Medical Systems,Ingenia,3,15,664.615783691406,90,"NA|0|0|512.0|512.0|[0.3125, 0.3125]|3.0|3.3|15.0|664.6158|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.29764868091238287072166823522853419550,1.2.826.0.1.3680043.8.498.92228187778325854441966465668223187813,Dummy,DummySeriesDesc!,1,1,Axial,Axial,True,30,512,512,"[0.3125, 0.3125]",4,4.4,,SE,SK,Philips Medical Systems,Ingenia,3,30,2472.38842773437,90,"NA|1|1|512.0|512.0|[0.3125, 0.3125]|4.0|4.4|30.0|2472.3884|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.29764868091238287072166823522853419550,1.2.826.0.1.3680043.8.498.93049579888925063520771775891465039949,Dummy,DummySeriesDesc!,1,1,Coronal,Coronal,True,30,512,512,"[0.31449162960052, 0.31449162960052]",3.2,3.7,,SE,SK,Philips Medical Systems,Ingenia,3,35,2472.37939453125,90,"NA|1|1|512.0|512.0|[0.31449162960052, 0.31449162960052]|3.2|3.7|35.0|2472.3794|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.10759295590848082080643815881145133309,Blank,,0,0,Sagittal,Sagittal,True,24,512,512,"[0.3906, 0.3906]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,85.752,4100,90,"NA|0|0|512.0|512.0|[0.3906, 0.3906]|3.0|4.0|85.752|4100.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.11783414490291628033336129717491807486,Blank,,0,0,Axial,Axial,True,28,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,11.304,640,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|11.304|640.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.12763175123567033737900718908091633013,Blank,,1,1,Axial,Axial,True,28,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.188,2760,90,"NA|1|1|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|34.188|2760.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.54535610302647039407009910528489667982,Blank,,1,1,Coronal,Coronal,True,24,512,512,"[0.3516, 0.3516]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.58,2340,90,"NA|1|1|512.0|512.0|[0.3516, 0.3516]|3.0|4.0|34.58|2340.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.78093385660449749624663646675509261313,Blank,,0,0,Coronal,Coronal,True,24,512,512,"[0.3516, 0.3516]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,11.416,540,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.0|4.0|11.416|540.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.82186342010103351687900684476818686965,Blank,,1,1,Sagittal,Sagittal,True,24,512,512,"[0.3906, 0.3906]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,33.656,2300,90,"NA|1|1|512.0|512.0|[0.3906, 0.3906]|3.0|4.0|33.656|2300.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.56512564464301544960446419143135447363,1.2.826.0.1.3680043.8.498.86938268768367335626610279260067777964,Blank,,0,0,Axial,Axial,True,28,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,87.912,4700,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|87.912|4700.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.11789987658206151165631502413155474798,Blank,,0,0,Axial,Axial,True,28,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,11.288,540,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|11.288|540.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.17934418573972759272534919931188739592,Blank,,0,0,Axial,Axial,True,28,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,87.768,4700,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|87.768|4700.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.25371003339062235719535685903629725583,Blank,,0,0,Sagittal,Sagittal,True,24,512,512,"[0.3516, 0.3516]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,86.688,4100,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.0|4.0|86.688|4100.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.32323247418092317262462994831418091573,Blank,,1,1,Coronal,Coronal,True,24,512,512,"[0.3516, 0.3516]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.692,2340,90,"NA|1|1|512.0|512.0|[0.3516, 0.3516]|3.0|4.0|34.692|2340.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.49091966385194517265009889541603216700,Blank,,1,1,Sagittal,Sagittal,True,24,512,512,"[0.3516, 0.3516]",3,4,,SE,"['SK', 'OSP']",GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.188,2320,90,"NA|1|1|512.0|512.0|[0.3516, 0.3516]|3.0|4.0|34.188|2320.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.78258700914724339615095082290322844598,Blank,,0,0,Coronal,Coronal,True,24,512,512,"[0.3516, 0.3516]",3,4,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,11.448,540,90,"NA|0|0|512.0|512.0|[0.3516, 0.3516]|3.0|4.0|11.448|540.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.77362718298550276679350855963451855003,1.2.826.0.1.3680043.8.498.99177866403443575396896317080757605662,Blank,,1,1,Axial,Axial,True,28,512,512,"[0.3516, 0.3516]",3.5,4.5,,SE,SK,GE MEDICAL SYSTEMS,SIGNA EXCITE,1.5,34.132,2720,90,"NA|1|1|512.0|512.0|[0.3516, 0.3516]|3.5|4.5|34.132|2720.0|GE MEDICAL SYSTEMS|SIGNA EXCITE"
1.2.826.0.1.3680043.8.498.94433753471890306108089557761231739312,1.2.826.0.1.3680043.8.498.18301329750310393137000369594616632001,Dummy,DummySeriesDesc!,1,1,Axial,Axial,True,30,512,512,"[0.3125, 0.3125]",4,4.4,,SE,SK,Philips Medical Systems,Ingenia,3,30,2721.23388671875,90,"NA|1|1|512.0|512.0|[0.3125, 0.3125]|4.0|4.4|30.0|2721.2339|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.94433753471890306108089557761231739312,1.2.826.0.1.3680043.8.498.19808351390262770843383719107538938411,Dummy,DummySeriesDesc!,1,1,Coronal,Coronal,True,35,512,512,"[0.31449162960052, 0.31449162960052]",3.2,3.7,,SE,SK,Philips Medical Systems,Ingenia,3,35,3265.46826171875,90,"NA|1|1|512.0|512.0|[0.31449162960052, 0.31449162960052]|3.2|3.7|35.0|3265.4683|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.94433753471890306108089557761231739312,1.2.826.0.1.3680043.8.498.81238513949482991110216640426071715261,Dummy,DummySeriesDesc!,0,0,Sagittal,Sagittal,True,35,512,512,"[0.3125, 0.3125]",3,3.3,,SE,SK,Philips Medical Systems,Ingenia,3,15,609.703979492187,90,"NA|0|0|512.0|512.0|[0.3125, 0.3125]|3.0|3.3|15.0|609.704|Philips Medical Systems|Ingenia"
1.2.826.0.1.3680043.8.498.94433753471890306108089557761231739312,1.2.826.0.1.3680043.8.498.97920511515278513771772493032450247932,Dummy,DummySeriesDesc!,1,1,Sagittal,Sagittal,True,35,512,512,"[0.3125, 0.3125]",3,3.3,,SE,SK,Philips Medical Systems,Ingenia,3,35,3460.49462890625,90,"NA|1|1|512.0|512.0|[0.3125, 0.3125]|3.0|3.3|35.0|3460.4946|Philips Medical Systems|Ingenia"
