StudyInstanceUID,SeriesIndex,SeriesInstanceUID,NumberOfSlices,Rows,Columns,PixelSpacing,SliceThickness,SpacingBetweenSlices,ComputedMedianSliceSpacing,ImageOrientationPatient,AnatomicalPlane,SeriesDescription,SequenceName,ScanningSequence,SequenceVariant,Manufacturer,ManufacturerModelName,MagneticFieldStrength,EchoTime,RepetitionTime,FlipAngle,Is_PD,Is_T1,Is_T2,Is_Fat_Suppressed,Is_Sagittal,Is_Coronal,Is_Axial
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,4,1.2.826.0.1.3680043.8.498.14912947740172635156351119156260949957,19,512,512,"[0.3906, 0.3906]",4,,4.400003196557911,"[-0.114193, 0.993453, 0.00328705, -0.0192779, 0.00109215, -0.999814]",Sagittal,Sag T1,,,None,GE MEDICAL SYSTEMS,Optima MR450w,,,,,0,1,0,0,1,0,0
1.2.826.0.1.3680043.8.498.11287937729196958426538087439102017580,5,1.2.826.0.1.3680043.8.498.93698495301744954009961652118533312307,19,512,512,"[0.3906, 0.3906]",4,,4.400002325388595,"[-0.114193, 0.993453, 0.00328705, -0.0192789, 0.00109207, -0.999814]",Sagittal,Sag PD FS,,,None,GE MEDICAL SYSTEMS,Optima MR450w,,,,,1,0,0,1,1,0,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,1,1.2.826.0.1.3680043.8.498.10450090035285223893337909203260865351,16,640,640,"[0.21875, 0.21875]",2,2.2,2.1999999464019027,"[0.9963205949783, 0.08570456243452, -7.039244e-09, -0.0431305785039, 0.50139544889047, -0.8641425559651]",Coronal,LT_t2_tse_fs_cor_obl_PCL,*tseR2d1rr17,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,71,4450,150,0,0,1,1,0,1,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,2,1.2.826.0.1.3680043.8.498.14985374264812063212398702944383827602,30,640,640,"[0.25, 0.25]",3,3.9,3.8999999658346525,"[0.98818977317706, -0.0091610260068, 0.15296093550567, -0.0017247651634, 0.99748312958324, 0.07088322355787]",Axial,LT_t2_tse_fs_tra,*tse2d1_13,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,61,4740,150,0,0,1,1,0,0,1
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,3,1.2.826.0.1.3680043.8.498.29866461247060130198043430878917197330,16,640,640,"[0.234375, 0.234375]",2,2.4,2.400000699693628,"[0.99838604522677, 0.03672431509977, 0.04332008052738, 0.05646334262083, -0.5599562247364, -0.8265959819156]",Coronal,LT_t2_tse_fs_cor_obl_ACL,*tseR2d1rr17,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,70,4400,150,0,0,1,1,0,1,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,4,1.2.826.0.1.3680043.8.498.38450243001981446118642153746249112051,27,640,640,"[0.25, 0.25]",3,3.6,3.5999998594948863,"[0.26149368132327, 0.96520518783728, 9.799637e-09, 0.06720791826274, -0.0182079794081, -0.9975728370443]",Sagittal,LT_t2_tse_sag,*tse2d1rr18,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,71,6010,150,0,0,1,0,1,0,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,5,1.2.826.0.1.3680043.8.498.48581226492982822161395493344457147102,27,320,320,"[0.5, 0.5]",3,3.6,3.5999998594948863,"[0.26149368132327, 0.96520518783728, 9.799637e-09, 0.06720791826274, -0.0182079794081, -0.9975728370443]",Sagittal,LT_t1_tse_sag,*tse2d1_3,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,11,591,150,0,1,0,0,1,0,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,6,1.2.826.0.1.3680043.8.498.54935794411829066097355160457970604724,30,640,640,"[0.234375, 0.234375]",3,3.9,3.8999999658357805,"[0.98818977317706, -0.0091610260068, 0.15296093550567, -0.0017247651634, 0.99748312958324, 0.07088322355787]",Axial,LT_t1_tse_tra,*tse2d1_3,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,11,642,150,0,1,0,0,0,0,1
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,7,1.2.826.0.1.3680043.8.498.73426276941399852513998542018430402942,30,320,320,"[0.5, 0.5]",3,3.6,3.6000000859813746,"[0.99867891705681, -0.0100523983574, 0.05039216123062, 0.05108608356929, 0.08860509046962, -0.9947559248421]",Coronal,LT_t1_tse_cor,*tse2d1_3,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,11,612,150,0,1,0,0,0,1,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,8,1.2.826.0.1.3680043.8.498.91903627435354016135777336404933338336,27,640,640,"[0.25, 0.25]",3,3.6,3.5999998594948863,"[0.26149368132327, 0.96520518783728, 9.799637e-09, 0.06720791826274, -0.0182079794081, -0.9975728370443]",Sagittal,LT_pd_tse_fs_sag,*tse2d1rr9,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,36,3690,150,1,0,0,1,1,0,0
1.2.826.0.1.3680043.8.498.11382021393803389951964005983002209238,9,1.2.826.0.1.3680043.8.498.93215173970625947969112669628390847443,30,640,640,"[0.25, 0.25]",3,3.6,3.6000000859813746,"[0.99867891705681, -0.0100523983574, 0.05039216123062, 0.05108608356929, 0.08860509046962, -0.9947559248421]",Coronal,LT_pd_tse_fs_cor,*tse2d1rr9,SE,"['SK', 'SP', 'OSP']",SIEMENS,Aera,1.5,36,4100,150,1,0,0,1,0,1,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,1,1.2.826.0.1.3680043.8.498.11483777317678061466864607463133892766,18,480,480,"[0.27083334326744, 0.27083334326744]",2.5,3,2.9999996132317026,"[0.99662256240844, -0.0352156423032, -0.0741841122508, -0.0820641517639, -0.4599284231662, -0.88415569067]",Coronal,RT.COR ACL T2W FS,,SE,SK,Philips,Achieva dStream,3,75,2500.00024414062,90,0,0,0,1,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,2,1.2.826.0.1.3680043.8.498.12942837807178755325452698984524562225,40,704,704,"[0.22727273404598, 0.22727273404598]",3,3.3,3.300000315638723,"[0.99291574954986, -0.0538421012461, -0.1059214696288, 0.05591516941785, 0.99829590320587, 0.01669825613498]",Axial,RT.Tra_T1W_TSE,,SE,SK,Philips,Achieva dStream,3,11,543.7490234375,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,3,1.2.826.0.1.3680043.8.498.13258540246811280543331620740563767493,40,640,640,"[0.25, 0.25]",3,3.3,3.300000315638542,"[0.99291574954986, -0.0538421012461, -0.1059214696288, 0.05591516941785, 0.99829590320587, 0.01669825613498]",Axial,RT.Tra_T2W_TSE_SPAIR,,SE,SK,Philips,Achieva dStream,3,83.823,4021.40209960937,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,4,1.2.826.0.1.3680043.8.498.24901571377214075058803703161169402193,30,640,640,"[0.25, 0.25]",3,3.3,3.3000006999341664,"[0.99291574954986, -0.0435183122754, -0.1105644032359, -0.104841902852, 0.11701148748397, -0.9875811338424]",Coronal,RT.Cor_PDW_TSE_SPAIR,,SE,SK,Philips,Achieva dStream,3,30,2500.00048828125,90,1,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,5,1.2.826.0.1.3680043.8.498.38603242122624552076191735510850848597,29,800,800,"[0.22499999403953, 0.22499999403953]",3,3.3,3.299999382710382,"[-0.0185953844338, 0.99968761205673, 0.01669825613498, -0.1062267199158, 0.01463122293353, -0.9942342638969]",Sagittal,RT.Sag_PDW_TSE_SPAIR_Sag,,SE,SK,Philips,Achieva dStream,3,30,3072.81909179687,90,1,0,0,0,1,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,6,1.2.826.0.1.3680043.8.498.53355900447142549760284049936407928123,30,640,640,"[0.25, 0.25]",3,3.3,3.3000006999341664,"[0.99291574954986, -0.0435183122754, -0.1105644032359, -0.104841902852, 0.11701148748397, -0.9875811338424]",Coronal,RT.Cor_TSE_T2,,SE,SK,Philips,Achieva dStream,3,80,2500.00048828125,90,0,0,1,0,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,7,1.2.826.0.1.3680043.8.498.54680010975301762365724523486752133418,29,512,512,"[0.3515625, 0.3515625]",3,3.3,3.2999993827103964,"[-0.0185953844338, 0.99968761205673, 0.01669825613498, -0.1062267199158, 0.01463122293353, -0.9942342638969]",Sagittal,RT.Sag_T1W_TSE,,SE,SK,Philips,Achieva dStream,3,11,646.807495117187,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,8,1.2.826.0.1.3680043.8.498.72911789053690199013409419164676013672,29,432,432,"[0.41666665673255, 0.41666665673255]",3,3.3,3.299999382709899,"[-0.0185953844338, 0.99968761205673, 0.01669825613498, -0.1062267199158, 0.01463122293353, -0.9942342638969]",Sagittal,RT.Sag_T2W_TSE,,SE,SK,Philips,Achieva dStream,3,80,3000,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11548045715264151632153040089882701935,9,1.2.826.0.1.3680043.8.498.80569003952772851177100325531323558152,30,704,704,"[0.22727273404598, 0.22727273404598]",3,3.3,3.3000006999331717,"[0.99291574954986, -0.0435183122754, -0.1105644032359, -0.104841902852, 0.11701148748397, -0.9875811338424]",Coronal,RT.Cor_T1W_TSE,,SE,SK,Philips,Achieva dStream,3,10,519.12451171875,90,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,1,1.2.826.0.1.3680043.8.498.46111989241956497589129886237673737566,34,384,384,"[0.41666665673256, 0.41666665673256]",3,3.3,3.2999993956785403,"[0.99276634329959, -0.0779611586326, -0.0913074222406, -0.0976955244944, -0.0824880036485, -0.9917919710039]",Coronal,t1_se_cor_384,*se2d1,SE,"['SP', 'OSP']",SIEMENS,Skyra,3,12,555,90,0,1,0,0,0,1,0
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,2,1.2.826.0.1.3680043.8.498.50613286207082214222722525784789239290,34,640,640,"[0.25, 0.25]",3.5,4.55,4.549999642366457,"[0.99411022617726, -0.0556237337038, -0.0930099911764, 0.05401309930103, 0.99834494443028, -0.0197473298042]",Axial,pd_tse_fs_tra_320,*tseR2d1rs6,SE,"['SK', 'SP', 'OSP']",SIEMENS,Skyra,3,20,3110,150,1,0,0,1,0,0,1
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,3,1.2.826.0.1.3680043.8.498.64449808338301790661391516052328478183,16,320,320,"[0.375, 0.375]",2,2.2,2.19999975447449,"[0.99640605939006, -0.0298925990694, -0.0792552669017, -0.0828502577287, -0.5386702697308, -0.8384331668669]",Coronal,t2_tse_cor_lca,*tseR2d1_13,SE,"['SK', 'SP', 'OSP']",SIEMENS,Skyra,3,75,3000,140,0,0,1,0,0,1,0
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,4,1.2.826.0.1.3680043.8.498.74490634866067804318496348509978724860,36,384,384,"[0.41666665673256, 0.41666665673256]",2.5,3,3.000001171456532,"[-0.0885391354114, 0.98732149778166, -0.1317462770585, -0.0902185481822, -0.1396709840871, -0.9860794236612]",Sagittal,t2_tse_sag_448,*tseR2d1_14,SE,"['SK', 'SP', 'OSP']",SIEMENS,Skyra,3,82,2550,150,0,0,1,0,1,0,0
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,5,1.2.826.0.1.3680043.8.498.76053899657527315952853964202368500798,36,640,640,"[0.25, 0.25]",2.5,3,3.0000011803390834,"[-0.0885391089766, 0.98732150064588, -0.1317462733591, -0.0902183018898, -0.1396709589667, -0.9860794497531]",Sagittal,pd_tse_fs_sag_320,*tse2d1rs5,SE,"['SK', 'SP', 'OSP']",SIEMENS,Skyra,3,22,2880,150,1,0,0,1,1,0,0
1.2.826.0.1.3680043.8.498.11557620559191469069130827959098335840,6,1.2.826.0.1.3680043.8.498.81787334059184556686818388901104015308,34,320,320,"[0.5, 0.5]",3,3.3,3.299999395678533,"[0.99276634329959, -0.0779611586326, -0.0913074222406, -0.0976955244944, -0.0824880036485, -0.9917919710039]",Coronal,pd_tse_fs_cor_320,*tse2d1rs6,SE,"['SK', 'SP', 'OSP']",SIEMENS,Skyra,3,20,2870,150,1,0,0,1,0,1,0
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,1,1.2.826.0.1.3680043.8.498.12611982787035055021219208925814685689,24,640,640,"[0.2813, 0.2813]",3.5000,,3.899999816179872,"[0.02971364, 0.99955839, -0.00026879, -0.0090457, 0.0, -0.99995911]",Sagittal,SG PD FatSat,,,None,TOSHIBA,Vantage,,,,,1,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,2,1.2.826.0.1.3680043.8.498.38661357433276987043969996027193861223,24,672,672,"[0.2679, 0.2679]",3.5000,,3.8999998161798723,"[0.02971364, 0.99955839, -0.00026879, -0.0090457, 0.0, -0.99995911]",Sagittal,SG T1W,,,None,TOSHIBA,Vantage,,,,,0,0,0,0,0,0,0
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,3,1.2.826.0.1.3680043.8.498.82713864873588110089135844757295052009,24,512,512,"[0.3516, 0.3516]",3.5000,,3.899999816179872,"[0.02971364, 0.99955839, -0.00026879, -0.0090457, 0.0, -0.99995911]",Sagittal,SG T2W FS,,,None,TOSHIBA,Vantage,,,,,0,0,0,1,0,0,0
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,4,1.2.826.0.1.3680043.8.498.84820111452997120776541070690928490202,24,544,512,"[0.3125, 0.3125]",4.0000,,4.399999609449807,"[0.9999966, -0.00086533, 0.00246627, 0.00065502, 0.99646258, 0.08403505]",Axial,AX T2W FS,,,None,TOSHIBA,Vantage,,,,,0,0,0,1,0,0,1
1.2.826.0.1.3680043.8.498.11771393824519892797114773408583976756,5,1.2.826.0.1.3680043.8.498.90312542992412683157082113686184827836,26,512,512,"[0.3516, 0.3516]",3.5000,,3.499999836167916,"[0.99899238, -0.03633045, -0.02634882, -0.01902411, 0.18894409, -0.98180354]",Coronal,CO T2W FS,,,None,TOSHIBA,Vantage,,,,,0,0,0,1,0,0,0
1.2.826.0.1.3680043.8.498.11851412923016044948101698015974810604,1,1.2.826.0.1.3680043.8.498.38946384864117135171384663677960789880,42,256,256,"[0.6640625, 0.6640625]",3,3.48,3.480000469628301,"[0.98526163191843, 0.119606372246, -0.1222858634004, -0.1356230223783, 0.11057123405294, -0.984571174675]",Coronal,COR T1,*tse2d1rr3,SE,"['SK', 'SP', 'OSP']",SIEMENS,Verio_DOT,3,10,820,140,0,1,0,0,0,1,0
1.2.826.0.1.3680043.8.498.11851412923016044948101698015974810604,2,1.2.826.0.1.3680043.8.498.43694888338048703729850099846765930063,40,256,256,"[0.6640625, 0.6640625]",3,3.51,3.5100003103782953,"[0.99121984802401, 0.02264795596712, -0.1302700386649, -0.0140139751389, 0.99766686178367, 0.06681647550962]",Axial,AX T2 FS,*tse2d1rr20,SE,"['SK', 'SP', 'OSP']",SIEMENS,Verio_DOT,3,88,5460,150,0,0,1,1,0,0,1
1.2.826.0.1.3680043.8.498.11851412923016044948101698015974810604,3,1.2.826.0.1.3680043.8.498.75774353008974228916065002158103177868,34,256,256,"[0.6640625, 0.6640625]",4,4.52,4.520000207246806,"[-0.1073140800207, 0.98806631134161, 0.11049277180479, -0.1439140461619, 0.09452663312439, -0.9850652074596]",Sagittal,SAG T2 FS,*tse2d1rr16,SE,"['SK', 'SP', 'OSP']",SIEMENS,Verio_DOT,3,70,7130,150,0,0,1,1,1,0,0
1.2.826.0.1.3680043.8.498.11851412923016044948101698015974810604,4,1.2.826.0.1.3680043.8.498.96460311887938476084320882783854369448,34,320,320,"[0.53125, 0.53125]",4,4.52,4.520000207246806,"[-0.1073140800207, 0.98806631134161, 0.11049277180479, -0.1439140461619, 0.09452663312439, -0.9850652074596]",Sagittal,SAG PD,*tseR2d1rr6,SE,"['SK', 'SP', 'OSP']",SIEMENS,Verio_DOT,3,22,2000,150,1,0,0,0,1,0,0
