AcquisitionFeature,Label,StudiesWithFeature,StudiesWithoutFeature,PositiveWithFeature,NegativeWithFeature,PositiveWithoutFeature,NegativeWithoutFeature,PrevalenceWhenPresent,PrevalenceWhenAbsent,DescriptivePrevalenceRatio
Has_Coronal_NonFluid_NonFS,Medial Meniscus,45,13,21,24,5,8,0.4666666666666667,0.38461538461538464,1.2133333333333334
Has_Coronal_NonFluid_NonFS,Lateral Meniscus,45,13,19,26,4,9,0.4222222222222222,0.3076923076923077,1.3722222222222222
Has_Coronal_NonFluid_NonFS,Medial OA,45,13,15,30,0,13,0.3333333333333333,0.0,
Has_Coronal_NonFluid_NonFS,Lateral OA,45,13,10,35,1,12,0.2222222222222222,0.07692307692307693,2.8888888888888884
Has_Coronal_NonFluid_NonFS,PF OA,45,13,18,27,3,10,0.4,0.23076923076923078,1.7333333333333334
Has_Coronal_NonFluid_NonFS,Effusion,45,13,28,17,7,6,0.6222222222222222,0.5384615384615384,1.1555555555555557
Has_Coronal_NonFluid_NonFS,Synovitis,45,13,23,22,4,9,0.5111111111111111,0.3076923076923077,1.661111111111111
Has_Coronal_NonFluid_NonFS,Baker's,45,13,9,36,3,10,0.2,0.23076923076923078,0.8666666666666667
Has_Coronal_NonFluid_NonFS,Contusion,45,13,12,33,7,6,0.26666666666666666,0.5384615384615384,0.49523809523809526
Has_Coronal_NonFluid_NonFS,Fracture,45,13,12,33,6,7,0.26666666666666666,0.46153846153846156,0.5777777777777777
Has_Sagittal_Fluid_FS,ACL,56,2,23,33,1,1,0.4107142857142857,0.5,0.8214285714285714
Has_Sagittal_Fluid_FS,MCL,56,2,9,47,0,2,0.16071428571428573,0.0,
Has_Sagittal_Fluid_FS,Medial Meniscus,56,2,24,32,2,0,0.42857142857142855,1.0,0.42857142857142855
Has_Sagittal_Fluid_FS,Lateral Meniscus,56,2,23,33,0,2,0.4107142857142857,0.0,
Has_Sagittal_Fluid_FS,Medial OA,56,2,15,41,0,2,0.26785714285714285,0.0,
Has_Sagittal_Fluid_FS,Lateral OA,56,2,11,45,0,2,0.19642857142857142,0.0,
Has_Sagittal_Fluid_FS,PF OA,56,2,20,36,1,1,0.35714285714285715,0.5,0.7142857142857143
Has_Sagittal_Fluid_FS,Effusion,56,2,34,22,1,1,0.6071428571428571,0.5,1.2142857142857142
Has_Sagittal_Fluid_FS,Synovitis,56,2,25,31,2,0,0.44642857142857145,1.0,0.44642857142857145
Has_Sagittal_Fluid_FS,Baker's,56,2,11,45,1,1,0.19642857142857142,0.5,0.39285714285714285
Has_Sagittal_Fluid_FS,Contusion,56,2,18,38,1,1,0.32142857142857145,0.5,0.6428571428571429
Has_Sagittal_Fluid_FS,Fracture,56,2,17,39,1,1,0.30357142857142855,0.5,0.6071428571428571
Has_Sagittal_NonFluid_NonFS,ACL,57,1,24,33,0,1,0.42105263157894735,0.0,
Has_Sagittal_NonFluid_NonFS,MCL,57,1,9,48,0,1,0.15789473684210525,0.0,
Has_Sagittal_NonFluid_NonFS,Medial Meniscus,57,1,25,32,1,0,0.43859649122807015,1.0,0.43859649122807015
Has_Sagittal_NonFluid_NonFS,Lateral Meniscus,57,1,22,35,1,0,0.38596491228070173,1.0,0.38596491228070173
Has_Sagittal_NonFluid_NonFS,Medial OA,57,1,14,43,1,0,0.24561403508771928,1.0,0.24561403508771928
Has_Sagittal_NonFluid_NonFS,Lateral OA,57,1,11,46,0,1,0.19298245614035087,0.0,
Has_Sagittal_NonFluid_NonFS,PF OA,57,1,21,36,0,1,0.3684210526315789,0.0,
Has_Sagittal_NonFluid_NonFS,Effusion,57,1,34,23,1,0,0.5964912280701754,1.0,0.5964912280701754
Has_Sagittal_NonFluid_NonFS,Synovitis,57,1,26,31,1,0,0.45614035087719296,1.0,0.45614035087719296
Has_Sagittal_NonFluid_NonFS,Baker's,57,1,12,45,0,1,0.21052631578947367,0.0,
Has_Sagittal_NonFluid_NonFS,Contusion,57,1,19,38,0,1,0.3333333333333333,0.0,
Has_Sagittal_NonFluid_NonFS,Fracture,57,1,18,39,0,1,0.3157894736842105,0.0,
